ID,rows,cols,nonzeros,sparsity,redundancy,size,constructor_time,scalar_time,spmv_time,spmm_time,sum_time,transpose_time,iterator_time
0, 1000000, 10000, 10000000.000000, 0.000000, 0.001001, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.000000, 0.001001, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.000000, 0.001001, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.000000, 0.001001, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.000000, 0.001001, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.000000, 0.001001, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.000000, 0.001001, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.000000, 0.001001, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.000000, 0.001001, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
0, 1000000, 10000, 10000000.000000, 0.000000, 0.001001, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.000000, 0.020901, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.000000, 0.020901, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.000000, 0.020901, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.000000, 0.020901, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.000000, 0.020901, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.000000, 0.020901, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.000000, 0.020901, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
1, 1000000, 10000, 10000000.000000, 0.000000, 0.020901, 120040004.000000, 0, 0, 0, 0, 0, 0, 0
